Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10
C4orf48	0.00031104657682590187	0.0007707707700319588	0.0003352118656039238	0.00016392489487770945	0.00024047114129643887	0.0009282976971007884	0.0003420282737351954	0.0007065394893288612	0.00014905101852491498	0.00017962203128263354
SOCS2	0.0001905381795950234	2.1378251403803006e-05	2.4108372599584982e-05	0.0005738144973292947	1.865554258984048e-05	9.862569277174771e-05	5.660793976858258e-05	8.096320379991084e-05	0.00017153346561826766	0.00022538624762091786
ABI3BP	8.928800525609404e-06	1.1273174322923296e-06	3.9913338696351275e-06	8.963811524154153e-06	5.128185307512467e-07	4.6047688329053926e-07	7.935421422189393e-07	0.00042129785288125277	1.33972378080216e-06	0.0005130984936840832
EFCAB14	0.0009857593104243279	0.0003105843788944185	0.00012867544137407094	0.0007254760712385178	0.00035818180185742676	0.000392489688238129	0.0003414688690099865	0.00024376093642786145	0.00041337418952025473	0.0003624402452260256
APOA1BP	0.00041703038732521236	0.0002016715588979423	0.0008006865391507745	0.00011113317304989323	0.0002378818317083642	0.0003717060899361968	0.0002930662303697318	0.000143243363709189	0.0015101295430213213	0.00031374997342936695
SFRP2	4.347148660599487e-06	1.3755231975665083e-06	7.77414516051067e-06	1.0416615623398684e-06	2.2502047158923233e-06	9.062375738722039e-07	1.2077989595127292e-06	0.0012372629716992378	8.26483528726385e-07	0.00029500428354367614
C19orf66	0.0004669586196541786	0.00017732963897287846	0.00032491146703250706	0.00022990514116827399	0.0003895951376762241	0.0009948898805305362	0.000623714120592922	0.00041119311936199665	0.0001352844701614231	0.00025708548491820693
RAB10	0.0005310539854690433	0.0006591434357687831	0.00033379578962922096	0.00032810028642416	0.00028515837038867176	0.0004374556883703917	0.0003070249513257295	0.0002915379009209573	0.0011066484730690718	0.00028370055952109396
SYNPO	3.1536660571873654e-06	1.4860882401990239e-05	2.293596844538115e-05	0.0011168449418619275	4.3738018575822935e-05	1.4443469353864202e-06	6.68454219976411e-07	0.0005650530220009387	1.2620449524547439e-05	0.0002691168920136988
SF3B6	0.00023704189516138285	0.0003533984418027103	0.0003430762735661119	0.0003969080571550876	0.0004053432203363627	0.0006016113329678774	0.0004944870015606284	0.00036333693424239755	0.0009861518628895283	0.0005414735060185194
LRP2	4.4534630433190614e-05	4.756688909424156e-08	2.5900396849465324e-07	4.881829340774857e-07	8.2855230232326e-08	4.154963662017508e-08	2.875671789581702e-08	4.820904564439843e-08	0.0014805826358497143	5.661794588718294e-08
EPB41L4A	0.00023523335403297096	1.0725434549385682e-06	0.0001145142232417129	0.0008076119120232761	5.7107383327092975e-05	1.7905778122440097e-06	4.232692390360171e-06	7.508086855523288e-05	0.00019411550601944327	8.082197746261954e-05
SYDE1	1.7397256669937633e-05	5.791427497570112e-07	5.13534951096517e-06	0.0002467614540364593	6.504390057671117e-07	1.1846595953102224e-06	4.1662451621959917e-07	0.0007408364326693118	9.072277862287592e-06	0.0006861239671707153
MIR497HG	2.5234219720005058e-05	5.597689960268326e-05	5.208980837778654e-06	6.203503289725631e-05	1.4147870388114825e-05	7.164436829043552e-05	2.7083598979515955e-05	0.00011584027379285544	0.00015730645100120455	0.0006315110367722809
SLPI	9.791018783289474e-06	3.023713134098216e-06	2.950298039650079e-06	3.256449645050452e-06	2.5562594601069577e-06	3.810771431744797e-06	3.135271526844008e-06	3.619062226789538e-06	6.868740456411615e-05	5.618027898890432e-06
CEBPD	0.00020224724721629173	0.0003703430120367557	7.922513759694993e-06	7.163746340665966e-05	2.480952616679133e-06	1.4852242202323396e-05	2.9208256819401868e-05	0.00014494491915684193	0.00021440349519252777	0.00031917094020172954
TRH	5.047631361776439e-07	0.002785909455269575	2.604458870791859e-07	5.3235755359537507e-08	7.783854272247481e-08	3.6805442249487896e-08	1.8793919309700868e-08	4.1715424003996304e-08	0.0005473940400406718	6.69306174927442e-08
SFI1	0.0008942914428189397	3.056791683775373e-05	5.110155325382948e-05	7.606398867210373e-05	0.00016972892626654357	0.0002519494737498462	0.0004936683108098805	0.00010680022387532517	9.16350691113621e-05	3.338506576255895e-05
ACYP1	0.00018688519776333123	4.882640496362001e-05	5.02248112752568e-05	8.77048951224424e-05	0.00015649414854124188	0.0003363386495038867	0.00023829280689824373	7.613299385411665e-05	0.00022492048447020352	0.00022030179388821125
TMEM9	0.00012144018546678126	9.172597492579371e-05	0.00025311860372312367	0.00014252911205403507	0.0001062247683876194	0.00010641702101565897	0.00017040391685441136	0.0002477702219039202	0.0006619687774218619	0.0003423952730372548
TXNIP	0.0006891578668728471	0.00039481406565755606	0.0003728567680809647	0.0006557552260346711	0.0007060685311444104	0.00021796459623146802	0.0008637498249299824	0.0001600318355485797	0.00016683022840879858	0.00045530765783041716
ERGIC3	0.000290036725345999	0.00037155632162466645	0.0018108104122802615	0.00031136098550632596	0.00030765263363718987	0.0004311600932851434	0.00040926618385128677	0.00035704547190107405	0.0008807872072793543	0.0006059803417883813
CPNE7	0.0004831533879041672	7.931531058602559e-07	6.184011454024585e-06	2.531425707275048e-06	1.7068132365238853e-05	0.0004962464445270598	0.0002744522935245186	2.4930147901613964e-06	3.8827194657642394e-05	8.385341061512008e-07
PTGER2	0.0005930506740696728	7.458728941855952e-05	2.123296553691034e-06	1.4383114148586174e-06	1.017807790049119e-05	5.2137380407657474e-05	0.0005521467537619174	4.888272087555379e-05	1.3116425634507323e-06	2.6360965421190485e-05
LPL	1.1885656476806616e-06	0.00016147505084518343	3.6345950320537668e-06	0.00021108315559104085	8.128029094223166e-07	5.974629402771825e-06	4.798966983798891e-07	0.00010188116721110418	4.577069375955034e-06	0.00046894780825823545
IGLV6-57	2.2517247089126613e-06	5.477968443301506e-07	0.0010943476809188724	4.1959350483011804e-07	8.871690624800976e-06	3.907970835825836e-08	5.198675694373378e-07	2.0914617948619707e-07	3.437365592162678e-08	2.970605237351265e-07
