Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
EDIL3	1.489002130483641e-07	8.54746460277056e-08	0.0010248777689412236	2.015689642576035e-05	9.52823256739066e-07	0.0001290035288548097	2.121083343809005e-05	3.740127567652962e-07	4.861591378357843e-07	5.211400662119559e-07	1.4096121958573349e-05	2.3758251700201072e-05	7.957181514939293e-05	3.53756917093051e-07	6.391976512531983e-06	7.103388952600653e-07	0.0015334472991526127	1.0304242096026428e-05	9.178037885249068e-07	4.913627549285593e-07	7.171820470830426e-05	0.00037138929474167526	2.0771065464941785e-05	2.9237859052955173e-05	0.0002783167874440551	1.0313098755432293e-05	2.3310855112868012e-07	2.707820021896623e-05	1.7511732949060388e-05	7.555479442089563e-07
RPL10	0.0004671766946557909	0.0014823117526248097	0.00011832750169560313	0.0008534857770428061	0.002405158244073391	0.0006286713760346174	0.004397280048578978	0.0009760581888258457	0.0018036962719634175	0.00016099207277875394	0.0013643980491906404	0.0012348502641543746	0.0010130987502634525	0.0013229192700237036	0.0015965924831107259	0.004875729791820049	0.0009758169762790203	0.0010023880749940872	0.002818823093548417	0.0023394774179905653	0.0015119476011022925	0.0010737157426774502	0.0018748441943898797	0.0014479119563475251	0.001491159200668335	0.0013677070382982492	0.000346023851307109	0.001092357444576919	0.0017118584364652634	0.0013375062262639403
CST7	3.798447778535774e-06	3.837303452769447e-08	3.516018068694393e-06	4.907777838525362e-05	0.00015339018136728555	3.7530759300352656e-07	6.955538083275314e-06	0.0006758463568985462	0.0032095997594296932	1.060166414390551e-05	1.2514058198576095e-06	0.0001717922423267737	0.00017928471788764	0.0004936472978442907	2.322512591490522e-05	0.00011322409409331158	3.5672070225700736e-05	0.0002047540183411911	4.677447213907726e-05	9.98081304715015e-07	8.780859207035974e-05	3.130735137801821e-07	6.851647776784375e-05	0.0001351008249912411	7.093707245076075e-05	5.9980491641908884e-05	8.910412361728959e-06	0.00010136268247151747	0.0005925808800384402	2.4676357952557737e-06
HIGD1B	7.797218870564393e-08	1.0885629109225192e-07	0.00014674803242087364	1.1179728062415961e-05	1.1016072676284239e-06	1.8992550394614227e-06	1.0805365491250996e-06	7.251897216065117e-08	2.0286513802147965e-07	2.1129622496118827e-07	9.511874168310896e-07	1.0174077942792792e-05	2.5930365154636092e-05	2.0034329395457462e-07	1.2547950518637663e-06	4.598769365316002e-08	1.2591333131695137e-07	7.057746188365854e-06	1.357608283569789e-07	3.2026684948505135e-07	2.729436801018892e-07	0.0039053477812558413	1.4272948646976147e-05	3.1073061109054834e-05	3.652359373518266e-05	1.0533328349993099e-05	1.6978309247406287e-07	0.00013434911670628935	2.2736387563782046e-06	4.0118828792401473e-07
PPP3CC	7.855462172301486e-05	6.848135672044009e-05	0.0002623550535645336	0.000574257574044168	7.082343654474244e-05	0.00018938237917609513	0.00012290758604649454	0.00042966354521922767	0.0006552625563926995	0.001408440642990172	0.00012821158452425152	0.00019457694725133479	0.00013101805234327912	0.0008342349319718778	0.00020127483003307134	0.0005051163607276976	0.00010371083044447005	0.0004501590447034687	0.0004042227810714394	0.0006328997551463544	0.00019387311476748437	0.00017718518211040646	0.000265321257757023	0.00030959915602579713	0.00021012366050854325	0.0002680601319298148	2.8798982384614646e-05	0.0004587292205542326	0.00022297441319096833	0.00041076590423472226
NTRK2	1.5738143588350795e-07	2.175087502109818e-05	7.329452637350187e-05	1.4660863598692231e-05	1.9450803847576026e-06	1.0612105825202889e-06	7.003510108916089e-05	2.87809016299434e-05	9.353495897812536e-07	3.6046342302142875e-06	0.00011517693928908557	1.2237765076861251e-05	4.434713991940953e-05	3.4024446904368233e-06	5.47522586202831e-06	5.347871478988964e-07	3.218376514269039e-05	7.695332169532776e-05	4.611081749317236e-06	3.3990065162470273e-07	3.004902566772216e-07	0.0016443562926724553	1.9046558008994907e-05	4.910379720968194e-05	6.092709008953534e-05	2.4510742150596343e-05	4.626942427421454e-06	0.00015935614646878093	2.3261345631908625e-06	1.950021669472335e-06
SIL1	0.00037213534233160317	0.000511772115714848	0.00032385814120061696	0.00012526530190370977	0.00022467602684628218	0.00020051913452334702	6.512603431474417e-05	0.00015416680253110826	0.0001385937794111669	0.00043926338548772037	0.0004978877841494977	5.0860107876360416e-05	9.391093044541776e-05	6.591300189029425e-05	0.0001326539204455912	8.578468987252563e-05	0.00032774507417343557	9.821482672123238e-05	0.00017357253818772733	3.0473658625851385e-05	0.0003354616346769035	0.0001595850189914927	0.00022938688925933093	0.0002639976446516812	0.00013855317956767976	0.000393434806028381	5.456915823742747e-05	0.0001006993479677476	0.0004432974092196673	0.001602417090907693
ARPC5	0.000998903065919876	0.00045489927288144827	0.00029104534769430757	0.0004667114117182791	0.001137730199843645	0.000315887329634279	0.0006061380845494568	0.0007599421078339219	0.0006468172068707645	0.00022582469682674855	0.00023646774934604764	0.0003201611980330199	0.0005969874910078943	0.0006149376858957112	0.00075341179035604	0.0006396916578523815	0.00039182460750453174	0.0005703825154341757	0.0007072114967741072	0.0005715071456506848	0.0004715214017778635	0.0011196364648640156	0.00026784464716911316	0.00029850806458853185	0.0006689744186587632	0.00021525169722735882	0.0009174527949653566	0.00030303720268420875	0.0008344609523192048	0.00019386438361834735
MBP	0.0001976683852262795	4.9883594329003245e-05	3.652903251349926e-05	0.0001613792555872351	0.0002752294240053743	7.542083722000825e-07	4.541909584077075e-05	0.0004145180282648653	0.0012747697765007615	0.0010894261067733169	0.00014930401812307537	0.00023818093177396804	0.0001763953041518107	0.0014218068681657314	0.0004877984174527228	0.0006932241376489401	8.316129969898611e-05	0.00028103968361392617	0.0007148559670895338	0.00044305564370006323	0.0004948761779814959	3.10481118503958e-06	0.00011849016300402582	0.0001843313657445833	0.00017884660337585956	0.00016259834228549153	5.1459664973663166e-05	0.0003551989502739161	8.644913032185286e-05	2.7281750590191223e-05
LEPROTL1	0.0001851030974648893	0.00013987785496283323	7.614641799591482e-05	0.000645410327706486	0.00018032394291367382	0.00017272648983635008	0.0001181797415483743	0.0007144124829210341	0.0006734480848535895	0.0005876229843124747	7.159382221288979e-05	0.0003200832870788872	0.00043401189032010734	0.0014247125945985317	0.0002641402243170887	0.0013830902753397822	6.688846769975498e-05	0.000710581021849066	0.001151065225712955	8.410044392803684e-05	0.0003740499378181994	0.00011475882638478652	0.0003082224284298718	0.0008744462393224239	0.00024310822482220829	0.00018601480405777693	8.395077747991309e-05	0.0001682420406723395	4.199225804768503e-05	0.00011863668623846024
