Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13
ACP5	0.0002950478810817003	6.517413567053154e-05	8.868017175700516e-05	0.00014456736971624196	0.0002546595933381468	2.1180073872528737e-06	0.0009126147488132119	0.0003348947793710977	5.020797107135877e-05	2.9312454898899887e-06	7.599295349791646e-05	0.000461073883343488	0.000511331541929394
ACSL1	8.624751353636384e-05	8.912153134588152e-05	3.328117963974364e-05	0.0003253714239690453	0.00013854650023858994	6.690624286420643e-05	0.0005421561654657125	0.0001244494633283466	9.2795911768917e-05	0.00020824692910537124	0.000244203518377617	4.0613016608403996e-05	0.0001656415406614542
ACSL3	0.002362810308113694	0.0001399823959218338	0.00025685213040560484	0.0010764054022729397	0.0002533759397920221	0.00021229569392744452	0.00023206167679745704	0.000281147746136412	0.00014475290663540363	0.00017329218098893762	0.00044515408808365464	0.0001417140883859247	0.00020385903189890087
ACSL4	4.6485583879984915e-06	0.0001423566573066637	4.985744453733787e-05	9.89098862191895e-06	0.00018703567911870778	0.000220399335375987	0.0004135317576583475	0.0014021472306922078	0.0001579437666805461	0.00019670410256367177	0.0002966710308101028	0.00012990491813980043	0.00031144253443926573
ACTA2	1.8071071963277063e-06	5.497360689332709e-05	1.3140118426235858e-05	5.528215297090355e-06	7.651198393432423e-05	1.0899285598497954e-06	4.748962965095416e-06	1.2249956853338517e-05	0.002663610503077507	0.0005192533717490733	0.00039874244248494506	3.4459171729395166e-06	2.879469502659049e-05
ACTB	0.00013847820810042322	0.0013162681134417653	0.0012433149386197329	0.0002735777816269547	0.00036057145916856825	0.0003581845958251506	0.0015597514575347304	0.0008232755935750902	0.0008255740394815803	0.000777494627982378	0.00022059293405618519	0.00035522275720722973	0.0024653237778693438
ACTG2	4.088367120402836e-07	0.00026988121680915356	8.105739652819466e-06	0.00018404872389510274	5.168319603399141e-07	5.775834210908215e-08	1.5472880932065891e-06	3.579414851628826e-06	0.0012604239163920283	1.0309202480129898e-05	5.185249028727412e-05	1.4209466598913423e-06	1.6262809367617592e-05
ACTN1	0.00018908151832874864	0.0001363405754091218	0.0002574342943262309	0.00036940042627975345	0.0003172044816892594	0.00046625660615973175	0.00030246280948631465	9.73248461377807e-06	0.0009858723497018218	0.0014076348161324859	0.0015334468334913254	3.803625986620318e-06	2.0625539036700502e-05
ACTR3	0.0002498626126907766	0.0006380961858667433	0.0008736012387089431	0.00026143688592128456	0.00013792347454000264	0.0002819179790094495	0.0007574438932351768	0.0010279155103489757	0.0003431547083891928	0.0003619625640567392	0.00017992804350797087	0.00045995679101906717	0.0013895108131691813
ACVRL1	2.447144652251154e-06	9.26050972793746e-07	1.7582634654900176e-06	1.045950966727105e-06	0.0007066157413646579	0.001591233303770423	9.978072193916887e-05	1.008591425488703e-06	0.00019518358749337494	0.0001668337790761143	0.0003755796351470053	1.3612670954898931e-06	2.988809626458533e-07
ACYP1	0.00038750292151235044	0.0006152387941256166	0.0001858772593550384	0.000195131913642399	0.00019714143127202988	8.416590571869165e-05	5.474024874274619e-05	0.0002767121186479926	0.0002689545799512416	3.5517274227458984e-05	0.00017063142149709165	0.00010788124927785248	0.0004099834186490625
ADAM12	1.760077429935336e-05	1.1574718882911839e-05	1.9394681658013724e-05	4.804461468665977e-07	0.0006178805488161743	5.285922952680266e-07	9.556133591104299e-06	0.00019821393652819097	5.401737871579826e-05	0.0016424612840637565	0.001502696773968637	2.66817210103909e-06	9.682185009296518e-06
ADAM15	0.0004935753531754017	0.00024745037080720067	6.868284981464967e-05	0.0004986864514648914	8.855530904838815e-05	0.0017093113856390119	0.0001528649590909481	5.729964323109016e-05	7.467118120985106e-05	6.224754906725138e-05	0.0001878447219496593	3.151679993607104e-05	8.94979530130513e-05
ADAM19	1.824686933105113e-06	6.170829146867618e-05	8.236799476435408e-05	2.228657223213304e-07	2.9072441975586116e-05	7.073146844049916e-05	0.00011345629172865301	0.00028013743576593697	7.243192521855235e-05	0.00022086362878326327	0.0002905659785028547	0.0009702369570732117	0.00042462840792723
ADAM28	1.1500200344016775e-05	4.481177256820956e-06	2.7088086426374502e-05	4.9696009227773175e-06	1.5349115756180254e-06	8.124137025333766e-07	0.0005001703393645585	0.0001977899082703516	6.259719498302729e-07	1.0762006468212348e-06	1.272710051125614e-06	0.0024135459680110216	1.3136252164258622e-05
