Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11
AC013461.1	0.001667841337621212	3.859897697111592e-05	7.889122935011983e-05	0.00014968485629651695	0.00014387120609171689	6.551656406372786e-05	3.7237874494167045e-05	0.0002119752170983702	8.652893302496523e-05	0.0002788399579003453	4.6598903281847015e-05
AC017002.1	2.0385334210004658e-05	2.9378638828347903e-06	2.0537574528134428e-05	2.3248259822139516e-05	0.0001505846157670021	2.3873502286164694e-08	0.00026431650621816516	1.2884097486676183e-05	1.7257073068321915e-06	1.851762499427423e-05	7.339183412113925e-07
AC020571.3	5.957966095593292e-06	4.824546067538904e-06	3.0803352274233475e-05	5.254645998320484e-07	3.132955316687003e-05	0.00015741659444756806	0.0003826710453722626	4.783927579410374e-06	0.0009655168978497386	2.198066249547992e-05	0.0034414692781865597
AC079767.4	2.1429738694678235e-07	3.174745143041946e-05	1.1308527973596938e-05	1.1204460292901786e-07	1.7281035979976878e-07	4.585479373986345e-08	5.390071464717039e-07	0.00010895625018747523	0.0013496908359229565	7.827641468338697e-08	3.332587539262022e-07
AC092580.4	3.6703346495414735e-07	3.605320443966775e-06	2.504758413124364e-05	2.0694943714261171e-07	0.00021236225438769907	3.902399470234741e-08	0.0005752556025981903	6.943196808606444e-07	3.208632222140295e-07	1.6780140299488266e-07	1.1081980346716591e-06
AC093642.3	1.6448566952931287e-07	3.6147568494016014e-07	3.5243006095697638e-06	2.995068939526391e-07	2.1069889044156298e-05	0.000921856495551765	1.8744041881291196e-05	1.9716358110599685e-06	1.4001444469613489e-05	8.983167390397284e-06	0.00018380681285634637
AC093818.1	2.858761263269116e-06	0.0030071905348449945	0.0012141780462116003	0.00014427797577809542	2.5226780053344555e-05	5.1411047934379894e-06	0.00026436333428137004	7.199166429927573e-05	9.978200978366658e-05	1.194578089780407e-05	2.0553512513288297e-05
AC104699.1	2.6219294113616343e-07	0.003982118796557188	0.0005808083806186914	7.428625536931577e-08	1.878252646747569e-07	1.2318339237538112e-08	3.227708305075794e-07	5.443485520117974e-07	0.0006088216905482113	6.468009416948917e-08	3.0341186629812e-07
AC133644.2	5.720361150451936e-05	2.5695395379443653e-05	5.751327989855781e-05	3.6058263503946364e-05	0.00029333593556657434	1.4481445020919637e-07	0.0004970529698766768	4.37700109614525e-05	9.17081308671186e-07	2.3116948796086945e-05	1.8166166455557686e-06
AC233755.1	1.319857290127402e-07	0.0021006776951253414	3.2953555546555435e-06	6.630952498198894e-08	3.9551386521452514e-07	1.0459135779683493e-07	1.6244272273979732e-06	8.369610071667921e-08	1.0499363270355389e-05	6.949096587050008e-08	1.4815034887760703e-07
AC245100.1	5.088623220217414e-05	1.7917880541062914e-05	0.00010606397700030357	6.76234265029052e-07	6.459850555984303e-05	1.920161048474256e-05	0.0006612405413761735	4.2619511077646166e-05	0.00036070894566364586	3.9930186176206917e-05	0.00011181151057826355
ACACB	0.00010545676195761189	4.4622531277127564e-05	5.0562644901219755e-05	0.0005241069593466818	2.564188980613835e-05	4.69987207907252e-05	7.700216519879177e-05	1.9046919987886213e-05	3.539527460816316e-05	0.00022916913439985365	0.00013330482761375606
ACAT2	0.00020558168762363493	6.48876593913883e-05	0.00013858613965567201	6.383682921295986e-05	0.0006022134330123663	0.00025039826869033277	0.00042301963549107313	0.00013017706805840135	0.000209700723644346	6.677157216472551e-05	0.00032033861498348415
ACE	9.209918971464504e-06	1.7352094801026396e-05	1.059987425833242e-05	0.001232888549566269	3.5794093946606154e-06	1.64390257850755e-05	3.1417708669323474e-05	0.00015780932153575122	7.418804557346448e-07	0.00011779819760704413	1.1184967661392875e-05
ACER3	0.00023307018273044378	9.711748862173408e-05	6.440742436097935e-05	0.00023807541583664715	0.000192791543668136	9.57659722189419e-05	0.0001678146218182519	0.0005563205922953784	0.00041018633055500686	0.00015648147382307798	0.0001877056056400761
