Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27
AC133644.2	6.137252967164386e-06	2.709094223973807e-05	1.999813503061887e-05	7.506807742174715e-05	1.8326862516460096e-07	2.5648391783761326e-06	1.1293710713289329e-06	6.311747711151838e-05	0.00010389258386567235	4.059618368046358e-05	2.9265356715768576e-05	0.001965712755918503	2.9527518563554622e-05	1.0206731531070545e-06	0.00018222152721136808	4.339888732829422e-07	3.3975550195464166e-06	8.055950274865609e-06	4.166010057815583e-06	6.838807621534215e-06	3.7000882002757862e-06	0.0005237934528850019	3.4521401630627224e-06	2.509436285436095e-07	9.154340659733862e-05	3.981690315413289e-05	5.064923698228085e-06
AC233755.1	2.945801270470838e-06	2.446758458063414e-07	0.0012421321589499712	9.360129297419917e-06	1.6758344045797458e-08	2.525578111089999e-07	1.0152753020520322e-05	0.1056995764374733	9.1903211796307e-06	1.332821284449892e-07	5.631146393625386e-08	9.23888592296862e-08	8.50693098186639e-08	4.2985416826013534e-07	1.6832083815643273e-07	4.199455894138282e-09	3.555661010068434e-07	6.9620455178665e-08	6.97456641773897e-07	0.0007804255001246929	1.2985557873435027e-07	1.1327183528919704e-06	7.331509266350622e-08	1.853106397220472e-07	2.7654330096993363e-06	5.768123756411114e-08	1.8135818891096278e-07
AC245100.1	0.00014724403445143253	0.0007045092643238604	4.606802576745395e-06	2.5095409000641666e-05	5.276586307445541e-05	0.00024210088304243982	0.0005514706135727465	0.0002432655601296574	0.0008434752817265689	2.806378142850008e-05	4.5320808567339554e-05	0.00021817903325427324	4.598967279889621e-05	3.449325595283881e-05	0.0006293105543591082	1.7356382159050554e-05	0.00010598351946100593	2.207471823112428e-07	1.961921043402981e-05	2.4063225282588974e-05	4.913385055260733e-05	1.3441750525089446e-05	9.620608034310862e-05	1.2637336112675257e-05	0.0007016427698545158	3.7987465475453064e-05	0.00012836858513765037
ACACB	0.0003024514007847756	0.0004589545133057982	2.4925147954490967e-05	1.6118301573442295e-05	6.114875759521965e-06	1.635161788726691e-05	3.761806510738097e-05	4.8216868890449405e-05	1.6847267033881508e-05	7.393243140541017e-05	0.00014478899538516998	2.739756200753618e-05	9.622455399949104e-05	0.0010986082488670945	3.87121326639317e-05	6.888437201268971e-05	3.01222680718638e-05	0.0004877659375779331	0.0019037052989006042	0.00011227478535147384	5.065725781605579e-05	0.00020598956325557083	1.3701242096431088e-05	1.0098813618242275e-05	8.261909533757716e-05	1.4242943507269956e-05	2.6124747819267213e-05
ACAT2	6.028597636031918e-05	0.0001954874023795128	6.916692655067891e-05	8.147651533363387e-05	0.00037552538560703397	0.0003617126203607768	0.0002005082933465019	7.718164852121845e-05	0.0005801145453006029	7.514631579397246e-05	5.690456600859761e-05	0.0004887439426966012	0.00021478181588463485	0.00010130140435649082	0.00043332602945156395	0.0001737494021654129	0.00035774995922110975	4.747227285406552e-05	0.0003518167941365391	3.5041015507886186e-05	0.00025924312649294734	0.00019435379363130778	0.00016749397036619484	0.0004861597262788564	0.0004311799129936844	0.0001067894627340138	0.0005036467337049544
ACE	5.524725202121772e-05	2.198078618675936e-05	1.2727544344670605e-05	8.055732905631885e-06	2.1315516278264113e-05	9.294336678067339e-07	5.084224312668084e-07	3.149140684399754e-05	3.804357038461603e-05	8.135475218296051e-05	0.00011853788601001725	1.982293497349019e-06	3.2086627470562235e-06	6.682769890176132e-05	1.7657085891187307e-06	2.259599932585843e-05	7.493391649404657e-07	0.0012684253742918372	0.0001346107601420954	5.791877356386976e-06	4.839966095460113e-06	0.0010959376813843846	7.225151057355106e-05	5.382870313042076e-06	5.08953417011071e-05	0.0001678057888057083	1.648961642786162e-06
ACER3	0.00010276692046318203	0.0005130836507305503	7.261873543029651e-05	4.795936183654703e-05	6.362957356031984e-05	5.7473946071695536e-05	0.0001537319622002542	5.617265196633525e-05	0.00024248303088825196	0.0002206873323302716	0.00013945055252406746	0.00017507054144516587	0.00022776720288675278	0.00016003103519324213	0.0002369917929172516	0.00011500818800413981	0.00025091334828175604	0.00024327212304342538	5.3365140047390014e-05	7.892670691944659e-05	0.0001770143717294559	0.00026686160708777606	0.001046420424245298	7.508942508138716e-05	0.00012165110820205882	0.0005067599704489112	0.0003307292063254863
ACKR1	8.844949661579449e-06	5.002478701499058e-06	5.777664568995533e-07	7.495440058846725e-06	7.498402396777237e-07	4.704373168351594e-06	2.325833065697225e-06	3.643727541202679e-05	1.0989697329932824e-05	3.214767048120848e-07	9.24294312198981e-08	1.0675454831243769e-07	1.6650045608912478e-06	4.738780717161717e-06	8.025864985938824e-07	6.168770738668172e-08	2.509160367480945e-06	0.000988586456514895	4.994043047190644e-05	3.86474457627628e-05	3.1727709028928075e-06	9.135843356489204e-06	5.318084390637523e-07	3.482425938727829e-07	1.5723899196018465e-06	3.59827708962257e-07	8.93891501618782e-06
ACOT7	1.341275856248103e-05	5.5151976994238794e-05	1.6095878891064785e-05	3.417777406866662e-05	0.00010118953650817275	2.738958028203342e-05	3.653671569736616e-07	0.00011218594590900466	5.084088843432255e-05	4.695990719483234e-05	8.30359203973785e-05	0.0008742333739064634	6.912369281053543e-05	2.4881959689082578e-05	0.0002933554060291499	9.827010217122734e-06	0.000728692626580596	0.00018134004494640976	5.385696204029955e-05	2.0041485186084174e-05	2.701366611290723e-05	0.00018377792730461806	0.0014012777246534824	0.0002143813035218045	9.942500764736906e-05	9.842241706792265e-05	0.00017742162162903696
ACP5	0.00012199797492939979	4.723496749647893e-05	7.713677041465417e-05	0.0001250702334800735	1.6295036402880214e-05	0.0008260271279141307	0.0006770892068743706	0.00019375039846636355	0.00015653188165742904	0.00022260354307945818	5.820304522785591e-06	0.0008446914725936949	1.6104286260087974e-05	0.0002938743564300239	0.0004097770433872938	0.00021877085964661092	0.00010756994743132964	1.5241722621794906e-06	1.6331063307006843e-05	5.136433901498094e-05	0.00026460009394213557	3.893965549650602e-05	0.0002537912514526397	6.93138936185278e-05	0.00016000658797565848	0.0009978169109672308	0.00011338826880091801
