Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15
ACTN1	0.0008397793862968683	0.0013179965317249298	2.0148419935139827e-05	0.0009308499284088612	5.662418061547214e-06	9.710727317724377e-05	8.393007192353252e-06	0.0003296041686553508	0.00015846196038182825	0.00023105314176063985	4.4600083128898405e-06	0.00022751983487978578	0.00040160451317206025	0.0004782532632816583	1.088863609766122e-05
ACTR3	0.00019427438382990658	0.0002979988057631999	0.0014610557118430734	0.00045282181235961616	0.0012209819396957755	0.0004395234864205122	0.0006275999476201832	0.0007234456716105342	0.0011275192955508828	0.0004559835360851139	0.0010033759754151106	0.0010185507126152515	0.00023016073100734502	0.0002873035555239767	0.00018697103951126337
ACVRL1	0.0006365408771671355	0.00021295997430570424	7.847223741919152e-07	7.365344936260954e-05	7.745123298263934e-07	3.2759346595412353e-06	2.931240487669129e-06	0.00011798687046393752	3.1305401648751285e-07	2.686473862922867e-06	5.137131324772781e-07	4.598683517542668e-05	3.815102331827802e-07	0.0015766823198646307	4.718778200185625e-06
ACYP1	0.0002077499812003225	4.667715256800875e-05	0.0004124367260374129	0.00038074931944720447	0.0004002548521384597	0.0001796806900529191	4.631996125681326e-05	5.4544085287489e-05	0.0003282267425674945	0.0004908386035822332	0.0001910095161292702	6.988951645325869e-05	0.00022569923021364957	8.562209404772148e-05	5.0082162488251925e-05
ADAM12	0.0006810622871853411	0.001632940024137497	3.170546915498562e-05	1.2350405086181127e-05	2.162247255910188e-05	2.8066692721040454e-06	0.0002671077672857791	1.0176823707297444e-05	1.7243251932086423e-05	4.749854269903153e-05	5.029977728554513e-06	0.00016064733790699393	3.5475029562803684e-06	9.023995062307222e-07	4.138295025768457e-06
ADAM15	8.243587944889441e-05	8.594327664468437e-05	0.00010335589468013495	8.358672494068742e-05	6.829146877862513e-05	0.0002317027683602646	2.07153116207337e-05	0.00012216782488394529	7.6787851867266e-05	0.0004278027336113155	2.1653357180184685e-05	0.0002726020466070622	0.0005302467034198344	0.0017080317484214902	6.809662590967491e-05
ADAM19	0.00020877996576018631	0.00017770525300875306	0.0006929326918907464	1.5028064808575436e-05	0.00019444996723905206	2.753456556092715e-06	0.000430035637691617	5.4487685702042654e-05	0.00020845107792411	6.421960279112682e-06	0.0008843186660669744	0.0002638599253259599	3.0992580946076487e-07	7.138425280572847e-05	0.00028965319506824017
ADAM28	7.724279953436053e-07	1.2983317674297723e-06	2.24139239435317e-05	6.528176186293422e-07	8.957037789514288e-05	2.707278781599598e-06	3.3989996154559776e-05	0.0003417554253246635	4.265799816494109e-06	2.2566443931282265e-06	0.0026340193580836058	0.000649709312710911	7.781720341881737e-06	9.381089967064327e-07	0.00018924821051768959
ADAM33	0.0011725345393642783	0.00025797306443564594	3.209194971987017e-07	3.997864405391738e-05	6.658180495833221e-07	2.3610860466760641e-07	4.253596853232011e-05	2.9667552325918223e-07	2.60670475427105e-07	8.535771485185251e-07	4.623250049462513e-07	7.071256732160691e-06	3.2945706607279135e-07	3.7272218378348043e-07	1.3794318647342152e-06
ADAM8	5.508908088813769e-06	6.718657004967099e-06	0.0005751152639277279	5.868252628715709e-06	0.0014516195515170693	3.03855849779211e-05	5.066039648227161e-06	0.0006014541140757501	0.0005058363894931972	5.866057108505629e-06	0.00036515749525278807	0.0003400453715585172	5.4570631618844345e-05	2.4970111098809866e-06	4.8526442697038874e-05
ADAMDEC1	4.561309651762713e-06	1.1633348549366929e-05	3.6392424362929887e-07	5.360363957152003e-06	2.022053138261981e-07	1.2116565528685896e-07	6.497477329503454e-07	0.0006255694897845387	1.5433563760325342e-07	1.0539680488363956e-06	1.4164957974571735e-05	1.0999393452948425e-05	2.9570719561888836e-07	4.355487419616111e-07	4.0396494682681805e-07
ADAMTS1	0.0003926377685274929	6.273250164667843e-06	4.292079154311068e-07	0.0004858022730331868	2.1839819964952767e-05	1.821170371840708e-06	8.29232760679588e-07	4.868361997978354e-07	8.295390898638288e-07	1.1549030887181289e-06	2.5380828105880937e-07	2.4615285383333685e-06	9.198950465361122e-06	0.0007839000900276005	8.663645871820336e-07
ADAMTS10	0.0006472025415860116	0.00021492083033081144	3.4870005038101226e-05	0.0002506934688426554	0.00021671837021131068	2.8182194000692107e-05	1.219657679030206e-05	1.5573794371448457e-05	5.777519618277438e-05	1.696040817478206e-05	1.5823105741219479e-06	9.962188778445125e-05	2.261910049128346e-05	0.0002985979081131518	7.3683977461769246e-06
ADAMTS12	0.0012316546635702252	0.0011316060554236174	1.0332389592804248e-06	8.21400317363441e-06	5.918113288316817e-07	1.6576833559156512e-06	1.3107011227475596e-06	2.788088977467851e-07	4.039478938011598e-07	5.123397386341821e-06	6.528114226966863e-07	8.542118621335248e-07	8.454458111373242e-06	6.496857167803682e-07	1.0247460977552691e-06
ADAMTS2	0.0008099487167783082	0.0015615054871886969	3.5473885873216204e-06	1.7474150808993727e-05	5.946466785644589e-07	7.551740509370575e-06	1.8884011296904646e-06	3.217652647435898e-06	8.508229143444623e-07	1.3720267816097476e-05	1.1712359082594048e-06	2.82238443105598e-06	9.817747468332527e-07	5.250905701359443e-07	2.1705882318201475e-06
ADAMTS4	0.0008190256776288152	0.00030850234907120466	4.8877041081141215e-06	6.487204518634826e-05	1.408457501383964e-05	2.2613317014474887e-06	3.7932222767267376e-05	3.46742854162585e-06	4.001027718913974e-06	0.00013743317686021328	5.765703008364653e-06	1.4650812772742938e-05	1.1485038157843519e-05	0.0005612227250821888	5.832777333125705e-06
ADAMTS9	0.00023058088845573366	2.1958689103485085e-05	2.108545658074945e-07	0.00012010265345452353	1.55851310523758e-07	6.610779905713571e-07	6.415934308279247e-07	1.380915648496739e-07	1.076723421533643e-07	6.330923042696668e-06	1.6818403025808948e-07	5.623788183584111e-06	8.868544796314382e-07	0.0009246693225577474	1.0728258530434687e-06
ADAMTS9-AS2	0.001056288368999958	2.1099758669151925e-05	1.2130033155699493e-07	0.0005837898934260011	2.2221213669126882e-07	1.6104975486541662e-07	8.545326295461564e-07	8.234599135903409e-08	5.367121858057544e-08	3.830114394531847e-07	2.800464073970943e-07	2.6496666123421164e-06	1.532288251837599e-06	0.00018903482123278081	9.196037353831343e-07
ADAMTSL1	0.0002587917260825634	0.00028585080872289836	1.6963866755759227e-07	3.1768051940161968e-06	2.3105388891053735e-07	1.2307830274949083e-06	8.504820243615541e-07	1.444371946490719e-07	1.282792396750665e-07	6.063551154511515e-07	3.00414143339367e-07	1.9173403416061774e-06	3.305021039068379e-07	0.0009044859907589853	1.4961343595132348e-06
ADAP2	0.00035971435136161745	4.071400780958356e-06	1.9389922272239346e-06	0.00037849502405151725	1.7690420008875662e-06	3.5752582334680483e-06	1.2105619134672452e-05	0.0021369645837694407	7.307357918762136e-06	2.641892479005037e-06	7.259888661792502e-05	0.00016937627515289932	1.3809934898745269e-05	3.325308171042707e-06	2.641840728756506e-05
