B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_26	0.292295164283915	0.311644964321054	0.391995606459205	8.96428194349474e-05	8.96428192593323e-05	0.00343676520007943	8.96428193326589e-05	8.96428194333381e-05	8.96428193989099e-05	8.96428194540107e-05	8.96428194332223e-05
spot_27	9.22713656356869e-05	0.0954334001680227	0.0581488844916213	0.317964962068961	0.404242178888304	9.22713656400358e-05	9.22713641184021e-05	0.116180201211161	9.22713656400368e-05	9.22713657945642e-05	0.00756901634510045
spot_28	0.0223839017938746	8.05546616456962e-05	0.0222531083067319	0.0034780753355554	0.21211289177766	0.707969300928168	8.05546607493681e-05	0.0221636579830062	0.00931684522932061	8.05546616414343e-05	8.05546616466987e-05
spot_29	0.000142006364562542	0.42853264958928	0.000142006364562547	0.00884914203151153	0.000142006364923831	0.366826237749434	0.000142006365297335	0.19318784345386	0.000142006364594581	0.00175208898741091	0.000142006364562542
spot_30	0.0937183972223266	6.69571511474106e-05	0.854945428412736	5.48836244569826e-05	5.4883624795472e-05	5.48836247687714e-05	5.4883624743074e-05	0.000552543492433059	5.48836244009686e-05	5.48836244417e-05	0.0503873719737501
spot_31	0.000107679959904633	0.180151740015783	0.282013327485237	0.00952430507546483	0.00374729796108866	0.519314868335674	0.000107679959784549	0.00149048638941867	0.00332725489771362	0.00010767996002569	0.000107679959904635
spot_32	0.0829921807516346	0.143809498870144	6.25496580463268e-05	0.0737734182541393	0.463208327444682	0.139460798962689	6.25496631487342e-05	6.25496580598071e-05	0.0964430274375238	6.25496418855969e-05	6.25496580476569e-05
spot_33	0.00521663535326748	0.000279664770851391	0.110935310666705	0.192429755976721	0.284004131261617	0.0926349725623768	0.0002796647708379	0.115787541097072	0.197872993998549	0.000279664771150686	0.000279664770851389
spot_34	0.0169107056058008	0.0348139232479213	0.000175458983434985	0.189055501741626	0.000175458983822069	0.426815506851411	0.170058502094724	0.14518248373176	0.0164615407886251	0.000175458987434926	0.000175458983438592
spot_35	8.83020442545885e-05	0.408036856078823	8.83020442546669e-05	8.83020442545856e-05	0.4439745973115	8.83020442528308e-05	8.8302044204496e-05	0.0831867836100681	0.0641836486897868	8.83020443460486e-05	8.83020442545886e-05
spot_36	0.0014902864681141	8.54679313285975e-05	0.0712173804905506	0.0192362230655164	0.29646542020449	0.58361949322576	8.54679313740379e-05	8.5467931328594e-05	8.54679313285961e-05	8.54679313804843e-05	0.0275438568888288
spot_37	8.39521631499279e-05	8.39521631499298e-05	0.181974398295127	8.39521631499309e-05	0.151025702841912	0.228928798981008	8.39521534842207e-05	8.39521690633522e-05	0.331766978911663	8.39521538408103e-05	0.105800408004451
spot_38	7.42495634036045e-05	7.42495632725384e-05	7.42495632038729e-05	0.00527663037542978	0.18786496868152	0.787704980320672	7.42495632750999e-05	7.42495638944055e-05	0.0186336736787476	7.42495633025979e-05	7.424956327872e-05
spot_39	0.000161078119651154	0.293641667319601	0.000161078119409089	0.0762205319415941	0.000161078118945932	0.547308022969794	0.00016107811931256	0.000161078119698706	0.000161078119649139	0.0817022309326943	0.000161078119650504
spot_40	9.59864500624989e-05	0.222294041547606	9.59864500645554e-05	9.5986450064555e-05	0.125158758726999	0.65177930812598	9.59864505281791e-05	9.59864497736726e-05	9.59864500633578e-05	9.59864487933813e-05	9.59864500645409e-05
spot_41	4.21311008235824e-05	4.21311008241232e-05	4.21311016418137e-05	0.00416027984485109	0.945390981623115	0.0500771679308779	4.21311008248683e-05	4.21311008241459e-05	7.66528946840244e-05	4.2131100709598e-05	4.2131100824147e-05
spot_42	0.0483653857165955	5.77030166029423e-05	5.7703016597323e-05	0.00533048603860747	0.0720910471486614	0.2921514471155	5.77030153370817e-05	0.581715415875333	5.77030166029772e-05	5.77030235597467e-05	5.77030166029668e-05
