B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_27	3.13956704353663e-05	0.137454707821419	0.384075531956122	3.13956704337217e-05	3.13956704695528e-05	0.424891078642429	3.1395670311793e-05	3.13956704327268e-05	0.0533589118866121	3.13956709056236e-05	3.13956704289838e-05
spot_28	7.59095973524526e-05	7.59095973524839e-05	0.245621609345458	7.59095973524617e-05	0.355454696956576	0.310143380181273	7.59095963586584e-05	0.0882211545389611	8.07667064936171e-05	7.59096170167449e-05	9.88442658053605e-05
spot_29	5.82722526047874e-05	0.0768472478807908	0.30167882377187	5.82722526047898e-05	0.409034976213415	0.0483788038208047	0.065031034314923	5.82722526120549e-05	0.0987377527334861	5.8272253816999e-05	5.82722530722984e-05
spot_30	0.180887253300432	6.71410984485793e-05	0.0740313726161147	0.000526586319715127	0.032025747374615	0.0479654454858186	6.71410982934687e-05	0.634314241269898	6.71410984433123e-05	0.00015348949639186	0.02989444084183
spot_31	0.0464417207676873	0.0964721966403545	0.423543594764169	0.0142586859545735	4.58385786917451e-05	0.000635394863337267	4.58385787164512e-05	0.408194375573198	0.00110325998211213	0.000302717980347274	0.00895637631681278
spot_32	7.57994279363351e-06	0.264443417268227	0.404062994123147	7.57994279330387e-06	0.311327006203538	0.0153963403295312	0.000231792880317817	0.00450054946542845	7.57994317882234e-06	7.57995825168221e-06	7.57994279363443e-06
spot_33	0.100972707522662	0.0582358937032055	0.000169580324682055	0.282267509427398	0.39223326118286	0.000169580324672969	0.000169580324491619	0.000169580324689373	0.165039843419583	0.000402883121062615	0.000169580324692526
spot_34	8.61080502533674e-05	0.000111894527664753	0.220836644632078	0.0228236922176072	0.0502716686898933	0.351003612874541	8.61080502415183e-05	0.344476227563302	0.010131827287201	8.61080569642488e-05	8.61080502533647e-05
spot_35	0.000116264102277556	0.000138989053181011	0.367289778930773	0.00833969125038169	0.284359971480415	0.153290570618624	0.000116264102279431	0.185332003843698	0.000783938407123068	0.00011626410897002	0.000116264102277554
spot_36	0.00707368221121657	0.363797739202416	0.155398405201992	3.7942684417527e-05	3.79426843863815e-05	0.473449015448537	3.79426844174541e-05	3.79426844417922e-05	3.79426841497192e-05	5.35018296057526e-05	3.7942684419463e-05
